"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"1209432523966537728","FIee5C4QpUE+qUAH0PGWYldQXfXF2eg5m43suCLJ8=","FIee5C4QpUE+qUAH0PGWYldQXfXF2eg5m43suCLJ8=","FIee5C4QpUE+qUAH0PGWYldQXfXF2eg5m43suCLJ8=","","","","0","1","2019-12-24","en","en","RT @USASwimming: Happy birthday to 2019 World Junior Championships medalist, Jake Mitchell 🎊🎁🎉 https://t.co/ctIGUUpZRB","2019-12-24 11:15","Twitter Web App","","","","True","","1.2087892924970312e+18","absent","absent","0","0","0","0","[]","[]","['76682652']"
"1211711853522370560","5YpCry3X6aAV3bGiRZpp+Uu+0CHumIuBNoxBZbzKIr0=","5YpCry3X6aAV3bGiRZpp+Uu+0CHumIuBNoxBZbzKIr0=","5YpCry3X6aAV3bGiRZpp+Uu+0CHumIuBNoxBZbzKIr0=","","","","1","2","2019-12-30","en","en","One needsthings to be truly happy living in the world: some thing to do, some one to love, some thing to hope for.","2019-12-30 18:13","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1200850264216834048","rSJJJMMmoqv20sAHV3MYByCUQuvvQMPiyGkMSbETic=","rSJJJMMmoqv20sAHV3MYByCUQuvvQMPiyGkMSbETic=","rSJJJMMmoqv20sAHV3MYByCUQuvvQMPiyGkMSbETic=","","","","2","6","2019-11-29","en","en","Less is more https://t.co/LGDsCDxjWA","2019-11-30 18:53","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1209187297561735169","VRNTYEcK2crZwLoRiKuc7U19fAyS+9rcj0tNvSGNIkM=","VRNTYEcK2crZwLoRiKuc7U19fAyS+9rcj0tNvSGNIkM=","VRNTYEcK2crZwLoRiKuc7U19fAyS+9rcj0tNvSGNIkM=","","","","2","6","2019-12-23","en","en","Books, like friends, should be few and well chosen. https://t.co/URBfmw7WED","2019-12-23 19:01","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1209036332904828928","E58rWnCIj++ZHjbEGEjvKK3z1+ruGQwy1QFC3ybHwk=","E58rWnCIj++ZHjbEGEjvKK3z1+ruGQwy1QFC3ybHwk=","E58rWnCIj++ZHjbEGEjvKK3z1+ruGQwy1QFC3ybHwk=","","","","2","17","2019-12-21","en","en","Fortune knocks once at least at every mans door. https://t.co/jmqxSvkRWg","2019-12-23 09:01","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1211987968660914178","F+sgxJIhVt0jDlAMz+ST4l0LEnwKOxP0Txyyx5flKE=","F+sgxJIhVt0jDlAMz+ST4l0LEnwKOxP0Txyyx5flKE=","F+sgxJIhVt0jDlAMz+ST4l0LEnwKOxP0Txyyx5flKE=","","","","2","13","2019-12-30","en","en","It is not the gods that can burn the pottery, there will always be a man who can learn the craft of fine workmanship. https://t.co/iCTTrVyHTE","2019-12-31 12:30","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1211238266281680896","1oYGb+gF0ULfDzrsC67YaM5i8OExL9mq4ewNDDqWY=","1oYGb+gF0ULfDzrsC67YaM5i8OExL9mq4ewNDDqWY=","1oYGb+gF0ULfDzrsC67YaM5i8OExL9mq4ewNDDqWY=","","","","2","4","2019-12-28","en","en","You can\t teach an old dog new tricks https://t.co/hRWYK4i5Ld","2019-12-29 10:51","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1211023253881229313","0+CddZDANGRXtVO1cFpVQY6AYnKocIEFT2itQOa6oAE=","0+CddZDANGRXtVO1cFpVQY6AYnKocIEFT2itQOa6oAE=","0+CddZDANGRXtVO1cFpVQY6AYnKocIEFT2itQOa6oAE=","","","","1","13","2019-12-27","en","en","Keep your friends close and your enemies closer https://t.co/105exGIVt6","2019-12-28 20:36","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1203185952102838273","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","","","","2","11","2019-12-06","en","en","No personnel to understand their own in the end how much power, until he tried to know later. https://t.co/VMJHFYWg2B","2019-12-07 05:34","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1203378393871339520","1+PPWhG2Iyg03+z37H62KI2y7NtLTXM0UVKjvS5ezw=","1+PPWhG2Iyg03+z37H62KI2y7NtLTXM0UVKjvS5ezw=","1+PPWhG2Iyg03+z37H62KI2y7NtLTXM0UVKjvS5ezw=","","","","0","2","2019-11-27","en","zh","他的父亲经营一家餐馆. https://t.co/GlyOQ35gPt","2019-12-07 18:19","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1206666932281364480","BCrZ4gchSRZ2Lbb8EU55wZ4rkQcsesHB7g5Eu07RY=","BCrZ4gchSRZ2Lbb8EU55wZ4rkQcsesHB7g5Eu07RY=","BCrZ4gchSRZ2Lbb8EU55wZ4rkQcsesHB7g5Eu07RY=","","","","0","1","2019-06-12","en","en","Fools grow without watering. https://t.co/aiOjHNDLgz","2019-12-16 20:06","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1211859056035422208","7qmfvpAME8xvW85ohthejUOZouT8G1BR9dST28iJ+jI=","7qmfvpAME8xvW85ohthejUOZouT8G1BR9dST28iJ+jI=","7qmfvpAME8xvW85ohthejUOZouT8G1BR9dST28iJ+jI=","","","","0","0","2019-12-31","en","en","If you would hit the mark, you must aim a little above it. Every arrow that flies feels the attraction of earth. Henry Wadsworth Longfellow.","2019-12-31 03:58","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1205752390332407809","LuzKSBEWHdEkwhxvIfeO8NoqvY0zPKkR7pCStzCKO20=","LuzKSBEWHdEkwhxvIfeO8NoqvY0zPKkR7pCStzCKO20=","LuzKSBEWHdEkwhxvIfeO8NoqvY0zPKkR7pCStzCKO20=","","Flower","","0","2","2019-12-13","en","en","you will see what you mean to me.","2019-12-14 07:32","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1210952020351315971","lPTsj5EMWUwWRifiYQg9oE6U5JcC9Ov7SchwExd60w=","lPTsj5EMWUwWRifiYQg9oE6U5JcC9Ov7SchwExd60w=","lPTsj5EMWUwWRifiYQg9oE6U5JcC9Ov7SchwExd60w=","","","","1","1","2019-12-28","en","en","Beauty is but skin-deep.","2019-12-28 15:53","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1206031233739673600","tB7VzTaHn1+D096M2ZugHbpveS+spgyYmYqwZ5jR4A=","tB7VzTaHn1+D096M2ZugHbpveS+spgyYmYqwZ5jR4A=","tB7VzTaHn1+D096M2ZugHbpveS+spgyYmYqwZ5jR4A=","","","","0","1","2019-04-21","en","en","Evil comes to us by ells and goes away by inches. https://t.co/kMxopVFyAU","2019-12-15 02:00","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1202767117579194369","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","1iS5OLoiJi32BwArPuuGLTTB7wKBj1vX948CjlY+u6o=","","","","2","11","2019-12-06","en","en","Genius is the ability to work hard and hard.","2019-12-06 01:50","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1209037109379485696","pzesxQoEfIaVaEiAamKFpcM2gMd0M8zdPSvjbt41PUk=","pzesxQoEfIaVaEiAamKFpcM2gMd0M8zdPSvjbt41PUk=","pzesxQoEfIaVaEiAamKFpcM2gMd0M8zdPSvjbt41PUk=","","","","0","7","2019-12-22","en","zh","与你无关!!!! https://t.co/KkqQWn0W4N","2019-12-23 09:04","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1138047950205022208","hqUMk4KCIpxLfBl+r85okWLrrojCIY1OZn07Zql2SI=","hqUMk4KCIpxLfBl+r85okWLrrojCIY1OZn07Zql2SI=","hqUMk4KCIpxLfBl+r85okWLrrojCIY1OZn07Zql2SI=","","","","2","13","2019-06-10","en","zh","这是违法的.","2019-06-10 11:39","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1210067030470037506","j+ATrQ2DAcV4wxzzyaHDbA8s0wl+n25emQA0NVxunXk=","j+ATrQ2DAcV4wxzzyaHDbA8s0wl+n25emQA0NVxunXk=","j+ATrQ2DAcV4wxzzyaHDbA8s0wl+n25emQA0NVxunXk=","","","","0","2","2019-12-01","en","en","What can\t be cured must be endured https://t.co/9VP6cg6ANq","2019-12-26 05:17","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1209949180954677248","A1zffI4k+yKHoaLYZK+btJlkRiPznL3fZBhQ2wj5k=","A1zffI4k+yKHoaLYZK+btJlkRiPznL3fZBhQ2wj5k=","A1zffI4k+yKHoaLYZK+btJlkRiPznL3fZBhQ2wj5k=","","","","0","1","2019-12-21","en","en","To conquer yourself, one day you will flapping the wings of dreams, flying in the blue sky! https://t.co/uKmgMYTdK8","2019-12-25 21:28","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1203845172057919488","p1LGcSZOMUhE8NBjiAsQBcCrG4XDjYBGSv+AN7MXreA=","p1LGcSZOMUhE8NBjiAsQBcCrG4XDjYBGSv+AN7MXreA=","p1LGcSZOMUhE8NBjiAsQBcCrG4XDjYBGSv+AN7MXreA=","","","","485","137","2019-11-27","en","zh","有人在按门铃. https://t.co/c12LMBaQnX","2019-12-09 01:13","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1201072791228780544","c4tMOMLcnwyPyLSFqnlwURpkKS6q9egisA0FmyUOc=","c4tMOMLcnwyPyLSFqnlwURpkKS6q9egisA0FmyUOc=","c4tMOMLcnwyPyLSFqnlwURpkKS6q9egisA0FmyUOc=","","","","0","26","2019-11-30","en","en","Be strong, and climb the peak, overcome inferiority; stress; increase competence and permanent learning; to serve the motherland for the people. https://t.co/oaGmbbf36i","2019-12-01 09:37","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1210529909791051776","y5pNk6PfUUHLkmTuZSiT0vNhS1Hi8tC43eYBcDPr0=","y5pNk6PfUUHLkmTuZSiT0vNhS1Hi8tC43eYBcDPr0=","y5pNk6PfUUHLkmTuZSiT0vNhS1Hi8tC43eYBcDPr0=","","","","1","1","2019-12-27","en","zh","4、心小了，所以小事就变大了；心变大了，所有的大事都变小了。","2019-12-27 11:56","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1211667012134400000","SbCrcJvTRBVPpVEp3EqDU+gOnNVsz2NRUqd5iBT9kI=","SbCrcJvTRBVPpVEp3EqDU+gOnNVsz2NRUqd5iBT9kI=","SbCrcJvTRBVPpVEp3EqDU+gOnNVsz2NRUqd5iBT9kI=","","","","0","6","2019-12-30","en","en","The road of life is rough, don\t throw a somersault sad, climb up, dust yourself off, the front is a piece of paradise.","2019-12-30 15:15","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
"1208498950551949313","TMzET2NlvyuU8ImRG70vLuv6Np1nYHrZlEUk7gwfXos=","TMzET2NlvyuU8ImRG70vLuv6Np1nYHrZlEUk7gwfXos=","TMzET2NlvyuU8ImRG70vLuv6Np1nYHrZlEUk7gwfXos=","","","","0","1","2019-12-21","en","en","The best things in life are free","2019-12-21 21:26","Twitter Web App","","","","False","","","absent","absent","0","0","0","0","[]","[]","[]"
