"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"269795552563191808","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","","GQ Obsession of the Year 2012: Men of the Year: GQ http://t.co/6SmtMKBU","2012-11-17 13:34","tweetbutton","","","","False","","","absent","absent","0","0","0","0","","['http://www.gq.com/moty/2012/rihanna-cover-story-gq-men-of-the-year-2012?mbid=social_twitter_gqmagazine']","[]"
"281120941067612161","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","en","Enter now for your chance to win a Samsung Galaxy Ace! Telecel subscribers only. http://t.co/2LjB1HQO","2012-12-18 19:37","tweetbutton","","","","False","","","absent","absent","0","0","0","0","","['http://bit.ly/Vjof6l']","[]"
"248832945526284288","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","F05zyhmf5zjcBKHB1v3qH1MWcwhc0qj4YhEnEPEuU0=","","","","32","2086","2012-09-20","en","","RT @MTVNews: Black Keys, Foo Fighters and more to make history with largest charity concert http://t.co/ZYCmV8Dy","2012-09-20 17:16","Mobile Web","","","","True","","2.488233985521992e+17","absent","absent","0","0","0","0","","['http://ow.ly/dRFNQ']","['40076725']"
