"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"14377836978","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","es","RT @maria_barracuda: El 31 d mayo n el Metropolitan haremos un concierto para Álvaro de la Peza quien necesita  transplante de corazón.  ...","2010-05-20 18:20","web","","","","True","","14377794489.0","absent","absent","0","0","0","0","[]","[]","['141060670']"
"16973315432255488","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","RT @JotDog: :)","2010-12-20 21:48","web","","","","True","","1.6965489137811456e+16","absent","absent","0","0","0","0","","","['0']"
"21792102725","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","es","RT @pamcerdeira: ¿Dr. cómo q a mi hija se le están encogiendo los 2 Ovarios?No Sra Ud me escucho Mal!A su hija se la están cogiendo dos  ...","2010-08-22 01:28","web","","","","True","","21786537060.0","absent","absent","0","0","0","0","[]","[]","['31590040']"
"10535937198","r22Y0Qwz69n2EeBRwYWEVLGD+E1WKzc04J6xLe8k=","r22Y0Qwz69n2EeBRwYWEVLGD+E1WKzc04J6xLe8k=","r22Y0Qwz69n2EeBRwYWEVLGD+E1WKzc04J6xLe8k=","","No midas tu riqueza por el dinero que tienes, mídela por aquellas cosa que tienes y que no cambiarias por dinero. #PetroEsPotenciaEconómica","","133","47","2010-03-06","es","es","RT @laurenmend: #Calle13 anuncia que actuará en #Cuba el próximo 23 de marzo http://bit.ly/9m0EFl","2010-03-15 21:29","web","","","","True","","10532000822.0","absent","absent","0","0","0","0","['Calle13', 'Cuba']","[]","['88687010']"
"22405172172","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","es","RT @SHANIK_ASPE: RT @PhilOmarHG: @SHANIK_ASPE chiste: PORQUE BOB ESPONJA NO PUEDE TENER LA ESPALDA VERDE?/porque sino seria SCOTCH BRITE ...","2010-08-29 03:05","web","","","","True","","22404930829.0","absent","absent","0","0","0","0","[]","[]","['119525084']"
"8917326302","HlOBfbrb8AMKxYNmaYHtAFsr8dJgkc+ifKXngDmkI=","HlOBfbrb8AMKxYNmaYHtAFsr8dJgkc+ifKXngDmkI=","HlOBfbrb8AMKxYNmaYHtAFsr8dJgkc+ifKXngDmkI=","Venezuela","","","207","102","2010-02-10","es","","@vtvnoticias @Telesur Venezolano #MiguelUbeto gana la primera etapa de la Vuelta Ciclística a #Cuba http://bit.ly/c12bhC","2010-02-10 20:25","web","62601049.0","","","False","","","absent","absent","0","0","0","0","['#MiguelUbeto', '#Cuba']","['']","['0', '0']"
"25904268050","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog listooooo","2010-09-29 17:50","web","26185445.0","25904216353.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"14376635936","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog cuando van a estar por el df!!!!1","2010-05-20 17:56","web","26185445.0","14376605311.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"26475413212","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog blanco","2010-10-05 17:20","web","26185445.0","26475367525.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"25906590361","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog como sabs si ganast??","2010-09-29 18:26","web","26185445.0","25905909284.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"15267722101","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog i love jotdog!!!! jejeje","2010-06-02 18:00","web","26185445.0","15267575848.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"14377227402","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog el exacustico solo lo van a pasar el 27 o hay repeticion!!!! ah y deverian sacar la cancion del beso como 4 sencillo los kiero0o0","2010-05-20 18:08","web","26185445.0","14376605311.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"21457606195","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@JotDog gracias jotdog!!!!!","2010-08-18 03:11","web","26185445.0","21452928150.0","","False","","","absent","absent","0","0","0","0","","","['0']"
"12957890555","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","rmmBpqd8WHFYYVq1wgBM2ddbKsfNpacKyGkBDcscJs=","Perdido en Distrito Federal!!","Lo más bonito del mundo es el futbol ⚽️🏆💙❤️

#CruzAzul #RealMadrid #PSG 🏆","https://t.co/SzyTSUKfcT","4545","4032","2010-02-23","es","","@ludwikapaleta claro estoy contigo vale por igual debemos d cuidar alos animales","2010-04-27 18:14","web","104490755.0","12957769795.0","","False","","","absent","absent","0","0","0","0","","","['0']"
