"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"0qqWAt3dwmhs1ZcuMDqsKbIsRZOsSpVC7VPk3XvSHt0=","0qqWAt3dwmhs1ZcuMDqsKbIsRZOsSpVC7VPk3XvSHt0=","0qqWAt3dwmhs1ZcuMDqsKbIsRZOsSpVC7VPk3XvSHt0=","Baku, Azerbaijan","Assistant of the President of the Republic of Azerbaijan, Head of Foreign Policy Affairs Department of the Presidential Administration.  RT not endorsement.","https://t.co/BpeoChkw6l","0","1","2020-11-11","ru"
"FqVhnX8XDzPsUa4tn29gHXs+N6ikWJoKmYhuo5pG1cE=","FqVhnX8XDzPsUa4tn29gHXs+N6ikWJoKmYhuo5pG1cE=","FqVhnX8XDzPsUa4tn29gHXs+N6ikWJoKmYhuo5pG1cE=","Baku, Azerbaijan","Информационная площадка, которая закладывается в Баку на базе АМИ «Новости Азербайджан» @novosti_az #newsazerbaijan #novosti_az #news","http://t.co/p9VLSVnhtT","118","26","2014-11-19","ru"
"Dw3BUtxw5YA0q9KN9iSzs8OfJBlwR6yd1abnKmfds=","Dw3BUtxw5YA0q9KN9iSzs8OfJBlwR6yd1abnKmfds=","Dw3BUtxw5YA0q9KN9iSzs8OfJBlwR6yd1abnKmfds=","Baku, Azerbaijan","Dancer, model, photographer📸
#Justiceforkhojaly
#StopArmenianAggression
#StopArmenianOccupation
#HocalıKatliamı
#EndofOccupation
#Back2karabakh
#shareforkhojaly","","204","557","2019-02-22","en"
"e7MA8928eiTvHTGw7lNORtEVx85xr8YkmbJuYv80=","e7MA8928eiTvHTGw7lNORtEVx85xr8YkmbJuYv80=","e7MA8928eiTvHTGw7lNORtEVx85xr8YkmbJuYv80=","Azerbaijan","Həyat belə bir şeydir .....
#Justiceforkhojaly
#StopArmenianAggression
#StopArmenianOccupation
#HocalıKatliamı
#EndofOccupation
#Back2karabakh
#shareforkhojaly","","226","543","2019-02-23","en"
"Spa7pWaCM14CBVVZ68P0RPl0+Eeb7eUR8d56gwnWI20=","Spa7pWaCM14CBVVZ68P0RPl0+Eeb7eUR8d56gwnWI20=","Spa7pWaCM14CBVVZ68P0RPl0+Eeb7eUR8d56gwnWI20=","Azerbaijan","Minister of Foreign Affairs of the Republic of Azerbaijan","https://t.co/In4iReS8VI","651","0","2020-07-16","ru"
"Nc3kQgzsNAqdsI8HIZvLUBqBrC2R2GmZsx0KZ81YgE=","Nc3kQgzsNAqdsI8HIZvLUBqBrC2R2GmZsx0KZ81YgE=","Nc3kQgzsNAqdsI8HIZvLUBqBrC2R2GmZsx0KZ81YgE=","Azerbaijan","I used to love my old twitter account, then everyone from my workplace  found me. This is my new account...","","272","544","2019-02-22","en"
"lLmWQV16uj+BD2rwXOahQYX2GdGcAMsDlIFzIidYk4=","lLmWQV16uj+BD2rwXOahQYX2GdGcAMsDlIFzIidYk4=","lLmWQV16uj+BD2rwXOahQYX2GdGcAMsDlIFzIidYk4=","Baku, Azerbaijan","#Esports | #CSGO 🎮 2018 northern conference champion
#shareforkhojaly
#Justiceforkhojaly
#StopArmenianOccupation
#HocalıKatliamı
#Back2karabakh","","273","834","2019-02-22","en"
"vrJSje34LOxmhLf7y0QqVdtulQZBm6QfOtxswidhrs=","vrJSje34LOxmhLf7y0QqVdtulQZBm6QfOtxswidhrs=","vrJSje34LOxmhLf7y0QqVdtulQZBm6QfOtxswidhrs=","Agri, Turkey","Love the life to its fullest
#Shareforkhojaly
#Justiceforkhojaly
#StopArmenianAggression
#StopArmenianOccupation
#HocalıKatliamı
#EndofOccupation
#Back2karabakh","","146","423","2019-02-21","en"
"1L0qn8rgg4bi6tCYH934gRpAQG59vTUg9kPubBzxM=","1L0qn8rgg4bi6tCYH934gRpAQG59vTUg9kPubBzxM=","1L0qn8rgg4bi6tCYH934gRpAQG59vTUg9kPubBzxM=","İstanbul, Türkiye","#Justiceforkhojaly
#StopArmenianAggression
#StopArmenianOccupation
#HocalıKatliamı
#EndofOccupation
#Back2karabakh","","326","627","2019-02-23","en"
"rOr0az+xkI49HIn0VwU6R1Som+obkg6E84AqY5hnoTo=","rOr0az+xkI49HIn0VwU6R1Som+obkg6E84AqY5hnoTo=","rOr0az+xkI49HIn0VwU6R1Som+obkg6E84AqY5hnoTo=","baku, az","I'm Cabir, an Architect👷‍♂️ working in Baku 🇦🇿","","134","426","2019-02-21","en"
